subset_id,arity,members,documentary_status,observational_status,irreducibility_status,evidence_level,decision
PAIR-01,2,P_psi|Eaf_psi,CONTEXT_DEPENDENT,INSUFFICIENT_EVIDENCE,NOT_TESTED,2,retain_typed_candidate_edge
PAIR-02,2,P_psi|Act_psi,CONTEXT_DEPENDENT,INSUFFICIENT_EVIDENCE,NOT_TESTED,2,retain_typed_candidate_edge
PAIR-03,2,P_psi|V_psi,CONTEXT_DEPENDENT,INSUFFICIENT_EVIDENCE,NOT_TESTED,2,retain_typed_candidate_edge
PAIR-04,2,P_psi|S_psi,CONTEXT_DEPENDENT,INSUFFICIENT_EVIDENCE,NOT_TESTED,2,retain_typed_candidate_edge
PAIR-05,2,Eaf_psi|Act_psi,CONTEXT_DEPENDENT,INSUFFICIENT_EVIDENCE,NOT_TESTED,2,retain_typed_candidate_edge
PAIR-06,2,Eaf_psi|V_psi,CONTEXT_DEPENDENT,INSUFFICIENT_EVIDENCE,NOT_TESTED,2,retain_typed_candidate_edge
PAIR-07,2,Eaf_psi|S_psi,CONTEXT_DEPENDENT,INSUFFICIENT_EVIDENCE,NOT_TESTED,2,retain_typed_candidate_edge
PAIR-08,2,Act_psi|V_psi,CONTEXT_DEPENDENT,INSUFFICIENT_EVIDENCE,NOT_TESTED,2,retain_typed_candidate_edge
PAIR-09,2,Act_psi|S_psi,CONTEXT_DEPENDENT,INSUFFICIENT_EVIDENCE,NOT_TESTED,2,retain_typed_candidate_edge
PAIR-10,2,V_psi|S_psi,CONTEXT_DEPENDENT,INSUFFICIENT_EVIDENCE,NOT_TESTED,2,retain_typed_candidate_edge
TRIAD-01,3,P_psi|Eaf_psi|Act_psi,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,NOT_TESTED,1,do_not_create_hyperedge
TRIAD-02,3,P_psi|Eaf_psi|V_psi,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,NOT_TESTED,1,do_not_create_hyperedge
TRIAD-03,3,P_psi|Eaf_psi|S_psi,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,NOT_TESTED,1,do_not_create_hyperedge
TRIAD-04,3,P_psi|Act_psi|V_psi,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,NOT_TESTED,1,do_not_create_hyperedge
TRIAD-05,3,P_psi|Act_psi|S_psi,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,NOT_TESTED,1,do_not_create_hyperedge
TRIAD-06,3,P_psi|V_psi|S_psi,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,NOT_TESTED,1,do_not_create_hyperedge
TRIAD-07,3,Eaf_psi|Act_psi|V_psi,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,NOT_TESTED,1,do_not_create_hyperedge
TRIAD-08,3,Eaf_psi|Act_psi|S_psi,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,NOT_TESTED,1,do_not_create_hyperedge
TRIAD-09,3,Eaf_psi|V_psi|S_psi,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,NOT_TESTED,1,do_not_create_hyperedge
TRIAD-10,3,Act_psi|V_psi|S_psi,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,NOT_TESTED,1,do_not_create_hyperedge
QUAD-01,4,Eaf_psi|Act_psi|V_psi|S_psi,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,NOT_TESTED,1,test_ablation_of_P_psi
QUAD-02,4,P_psi|Act_psi|V_psi|S_psi,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,NOT_TESTED,1,test_ablation_of_Eaf_psi
QUAD-03,4,P_psi|Eaf_psi|V_psi|S_psi,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,NOT_TESTED,1,test_ablation_of_Act_psi
QUAD-04,4,P_psi|Eaf_psi|Act_psi|S_psi,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,NOT_TESTED,1,test_ablation_of_V_psi
QUAD-05,4,P_psi|Eaf_psi|Act_psi|V_psi,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,NOT_TESTED,1,test_ablation_of_S_psi

